"Country","Region","Happiness.Rank","Happiness.Score","Economy..GDP.per.Capita.","Family","Health..Life.Expectancy.","Freedom","Trust..Government.Corruption.","Generosity","Dystopia.Residual","Happinness State"
"Jamaica","Latin America and Caribbean","76","5.3109998703003","0.9255793094635","1.3682180643082","0.64102238416672","0.47430723905563","0.055267781019211","0.23381833732128","1.612325668335","Happy"
"Japan","Eastern Asia","51","5.9200000762939","1.4169151782989","1.4363378286362","0.91347587108612","0.50562554597855","0.16376073658466","0.12057276815176","1.3632235527039","Happy"
"Jordan","Middle East and Northern Africa","74","5.3359999656677","0.99101239442825","1.2390888929367","0.60459005832672","0.41842114925384","0.11980327218771","0.17217046022415","1.7911765575409","Happy"
"Kazakhstan","Central and Eastern Europe","60","5.8189997673035","1.2845562696457","1.3843690156937","0.60604155063629","0.43745428323746","0.11928288638592","0.20196442306042","1.7848925590515","Happy"
"Kenya","Sub-Saharan Africa","112","4.5529999732971","0.56047946214676","1.0679507255554","0.30998834967613","0.45276376605034","0.064641319215298","0.44486030936241","1.6519021987915","Happy"
"Kosovo","Central and Eastern Europe","78","5.2789998054504","0.95148438215256","1.1378535032272","0.54145205020904","0.26028794050217","0.057471618056297","0.31993144750595","2.0105407238007","Happy"
"Kuwait","Middle East and Northern Africa","39","6.1050000190735","1.6329524517059","1.2596987485886","0.63210570812225","0.49633759260178","0.21515955030918","0.22828979790211","1.6404252052307","Happy"
"Kyrgyzstan","Central and Eastern Europe","98","5.0040001869202","0.59622007608414","1.3942385911941","0.55345779657364","0.45494338870049","0.039439179003239","0.42858037352562","1.5367231369019","Happy"
"Latvia","Central and Eastern Europe","54","5.8499999046326","1.2607486248016","1.4047149419784","0.63856697082519","0.32570791244507","0.073842726647854","0.15307478606701","1.993655204773","Happy"
"Lebanon","Middle East and Northern Africa","88","5.2249999046326","1.0749875307083","1.129624247551","0.73508107662201","0.28851598501205","0.037513829767704","0.2644507586956","1.6950738430023","Happy"
"Lesotho","Sub-Saharan Africa","139","3.808000087738","0.52102124691009","1.1900951862335","0","0.39066129922867","0.11909464001656","0.15749727189541","1.429835319519","Happy"
"Liberia","Sub-Saharan Africa","148","3.5329999923706","0.11904179304838","0.87211793661118","0.22991819679737","0.33288118243218","0.038948249071836","0.26654988527298","1.6732859611511","Happy"
"Libya","Middle East and Northern Africa","68","5.5250000953674","1.1018030643463","1.357564330101","0.5201690196991","0.46573323011398","0.092610210180283","0.15207366645336","1.8350112438202","Happy"
"Lithuania","Central and Eastern Europe","52","5.9019999504089","1.3145823478699","1.4735161066055","0.62894994020462","0.23423178493977","0.011865642853081","0.010164656676352","2.2284405231476","Happy"
"Luxembourg","Western Europe","18","6.8629999160767","1.7419435977936","1.4575836658478","0.84508949518204","0.59662789106369","0.31883442401886","0.28318098187447","1.6195120811462","Very Happy"
"Macedonia","Central and Eastern Europe","92","5.1750001907349","1.0645779371262","1.2078930139542","0.6449481844902","0.32590597867966","0.060277793556452","0.25376096367836","1.6174693107605","Happy"
"Madagascar","Sub-Saharan Africa","144","3.6440000534058","0.30580869317055","0.91302037239075","0.37522330880165","0.18919676542282","0.067231975495815","0.20873253047466","1.5846126079559","Happy"
"Malawi","Central and Eastern Europe","136","3.9700000286102","0.23344203829765","0.51256883144379","0.31508958339691","0.46691465377808","0.072711654007435","0.28717046976089","2.0817861557007","Happy"
"Malaysia","Middle East and Northern Africa","42","6.0840001106262","1.2912154197693","1.2846460342407","0.61878442764282","0.40226498246193","0.065600708127022","0.41660892963409","2.004448890686","Happy"
"Mali","Sub-Saharan Africa","127","4.1900000572205","0.47618049383164","1.2814733982086","0.16936567425728","0.30661374330521","0.10497024655342","0.18335419893265","1.6681909561157","Happy"
"Malta","Sub-Saharan Africa","27","6.5269999504089","1.343279838562","1.4884116649628","0.82194423675537","0.58876705169678","0.15306606888771","0.57473057508469","1.5568628311157","Happy"
"Mauritania","Middle East and Northern Africa","123","4.2919998168945","0.64845728874206","1.2720308303833","0.2853492796421","0.09609804302454","0.13695700466633","0.20187002420425","1.6516373157501","Happy"
"Mauritius","Central and Eastern Europe","64","5.6290001869202","1.1893955469132","1.2095609903336","0.63800746202469","0.49124732613563","0.042181555181742","0.36093375086784","1.6975839138031","Happy"
"Mexico","Western Europe","25","6.5780000686645","1.1531838178635","1.210862159729","0.70997899770737","0.41273000836372","0.13277411460877","0.12099043279886","2.8371548652649","Happy"
"Moldova","Central and Eastern Europe","56","5.8379998207092","0.72887063026428","1.2518255710602","0.58946520090103","0.24072904884815","0.010091286152601","0.20877912640572","2.8078083992004","Happy"
"Mongolia","Sub-Saharan Africa","100","4.9549999237061","1.027235865593","1.4930112361908","0.55778348445892","0.39414396882057","0.032902289181948","0.338464230299","1.1112923622131","Happy"
"Montenegro","Central and Eastern Europe","83","5.2369999885559","1.1211290359497","1.2383764982223","0.66746467351913","0.19498905539513","0.088174194097519","0.19791102409363","1.7291915416718","Happy"
